Date_2,Trade,Cost Category,"Cost
Code",Description,Actual Cost
1/9/2017,General,Subcontractor,,Subcontractor,0
1/9/2017,General,Tools and Machinery,,Tools and Machinery (General),"51,115.67"
1/10/2017,General,Main Office,,Head Office Administration,"63,555.26"
1/10/2017,General,Design and Drafting,,"Shop Drawings Coordination, Builder Work","84,740.35"
1/10/2017,Electrical,Materials_EL,,Electrical Materials,"211,850.88"
1/10/2017,HVAC,Materials_HVAC,,HVAC Material,"158,888.16"
1/10/2017,Plumbing & Drainage,Materials_PD,,PD Material,"127,110.53"
1/10/2017,General,Site Admin,,Site Management Cost,"84,740.35"
1/10/2017,General,Site Labour,,Site Labour,"158,888.16"
1/10/2017,General,Site Misc,,Miscellaneous Items,"52,962.72"
1/10/2017,General,Subcontractor,,Subcontractor,"52,962.72"
1/10/2017,General,Tools and Machinery,,Tools and Machinery (General),"43,555.26"
1/11/2017,General,Main Office,,Head Office Administration,"59,926.31"
1/11/2017,General,Design and Drafting,,"Shop Drawings Coordination, Builder Work","79,901.75"
1/11/2017,Electrical,Materials_EL,,Electrical Materials,"199,754.38"
1/11/2017,HVAC,Materials_HVAC,,HVAC Material,"149,815.79"
1/11/2017,Plumbing & Drainage,Materials_PD,,PD Material,"119,852.63"
1/11/2017,General,Site Admin,,Site Management Cost,"79,901.75"
1/11/2017,General,Site Labour,,Site Labour,"149,815.79"
1/11/2017,General,Site Misc,,Miscellaneous Items,"49,938.60"
1/11/2017,General,Subcontractor,,Subcontractor,"49,938.60"
1/11/2017,General,Tools and Machinery,,Tools and Machinery (General),"59,926.31"
1/12/2017,General,Main Office,,Head Office Administration,"95,242.58"
1/12/2017,General,Design and Drafting,,"Shop Drawings Coordination, Builder Work","66,990.11"
1/12/2017,Electrical,Materials_EL,,Electrical Materials,"317,475.28"
1/12/2017,HVAC,Materials_HVAC,,HVAC Material,"238,106.46"
1/12/2017,Plumbing & Drainage,Materials_PD,,PD Material,"190,485.17"
1/12/2017,General,Site Admin,,Site Management Cost,"126,990.11"
1/12/2017,General,Site Labour,,Site Labour,"238,106.46"
1/12/2017,General,Site Misc,,Miscellaneous Items,"79,368.82"
1/12/2017,General,Subcontractor,,Subcontractor,"79,368.82"
1/12/2017,General,Tools and Machinery,,Tools and Machinery (General),"65,242.58"
1/1/2018,General,Main Office,,Head Office Administration,"125,201.41"
1/1/2018,General,Design and Drafting,,"Shop Drawings Coordination, Builder Work","86,935.21"
1/1/2018,Electrical,Materials_EL,,Electrical Materials,"417,338.04"
1/1/2018,HVAC,Materials_HVAC,,HVAC Material,"313,003.53"
1/1/2018,Plumbing & Drainage,Materials_PD,,PD Material,"250,402.82"
1/1/2018,General,Site Admin,,Site Management Cost,"166,935.21"
1/1/2018,General,Site Labour,,Site Labour,"313,003.53"
1/1/2018,General,Site Misc,,Miscellaneous Items,"104,334.51"
1/1/2018,General,Subcontractor,,Subcontractor,"104,334.51"
1/1/2018,General,Tools and Machinery,,Tools and Machinery (General),"85,201.41"
1/2/2018,General,Main Office,,Head Office Administration,"115,264.96"
1/2/2018,General,Design and Drafting,,"Shop Drawings Coordination, Builder Work","76,843.31"
1/2/2018,Electrical,Materials_EL,,Electrical Materials,"307,373.23"
1/2/2018,HVAC,Materials_HVAC,,HVAC Material,"422,638.19"
1/2/2018,Plumbing & Drainage,Materials_PD,,PD Material,"249,740.75"
1/2/2018,General,Site Admin,,Site Management Cost,"153,686.61"
1/2/2018,General,Site Labour,,Site Labour,"268,951.57"
1/2/2018,General,Site Misc,,Miscellaneous Items,"76,843.31"
1/2/2018,General,Subcontractor,,Subcontractor,"192,108.27"
1/2/2018,General,Tools and Machinery,,Tools and Machinery (General),"57,632.48"
1/3/2018,General,Main Office,,Head Office Administration,"122,184.19"
1/3/2018,General,Design and Drafting,,"Shop Drawings Coordination, Builder Work","81,456.13"
1/3/2018,Electrical,Materials_EL,,Electrical Materials,"325,824.52"
1/3/2018,HVAC,Materials_HVAC,,HVAC Material,"448,008.71"
1/3/2018,Plumbing & Drainage,Materials_PD,,PD Material,"264,732.42"
1/3/2018,General,Site Admin,,Site Management Cost,"162,912.26"
1/3/2018,General,Site Labour,,Site Labour,"285,096.45"
1/3/2018,General,Site Misc,,Miscellaneous Items,"81,456.13"
1/3/2018,General,Subcontractor,,Subcontractor,"203,640.32"
1/3/2018,General,Tools and Machinery,,Tools and Machinery (General),"61,092.10"
1/4/2018,General,Main Office,,Head Office Administration,"152,026.43"
1/4/2018,General,Design and Drafting,,"Shop Drawings Coordination, Builder Work","101,350.95"
1/4/2018,Electrical,Materials_EL,,Electrical Materials,"405,403.80"
1/4/2018,HVAC,Materials_HVAC,,HVAC Material,"557,430.23"
1/4/2018,Plumbing & Drainage,Materials_PD,,PD Material,"329,390.59"
1/4/2018,General,Site Admin,,Site Management Cost,"202,701.90"
1/4/2018,General,Site Labour,,Site Labour,"354,728.33"
1/4/2018,General,Site Misc,,Miscellaneous Items,"101,350.95"
1/4/2018,General,Subcontractor,,Subcontractor,"253,377.38"
1/4/2018,General,Tools and Machinery,,Tools and Machinery (General),"76,013.21"
1/5/2018,General,Main Office,,Head Office Administration,"178,435.68"
1/5/2018,General,Design and Drafting,,"Shop Drawings Coordination, Builder Work","118,957.12"
1/5/2018,Electrical,Materials_EL,,Electrical Materials,"475,828.48"
1/5/2018,HVAC,Materials_HVAC,,HVAC Material,"654,264.15"
1/5/2018,Plumbing & Drainage,Materials_PD,,PD Material,"386,610.64"
1/5/2018,General,Site Admin,,Site Management Cost,"237,914.24"
1/5/2018,General,Site Labour,,Site Labour,"416,349.92"
1/5/2018,General,Site Misc,,Miscellaneous Items,"118,957.12"
1/5/2018,General,Subcontractor,,Subcontractor,"297,392.80"
1/5/2018,General,Tools and Machinery,,Tools and Machinery (General),"89,217.84"
1/6/2018,Plumbing & Drainage,Materials_PD,2000,UPVC Pressure Pipes and Fittings,0
1/6/2018,Plumbing & Drainage,Materials_PD,2004,HDPE Pipes and Fittings,"182,559.38"
1/6/2018,Plumbing & Drainage,Materials_PD,2005,PEX Pipes and Fittings,0
1/6/2018,Plumbing & Drainage,Materials_PD,2006,PPR Pipes and Fittings,0
1/6/2018,Plumbing & Drainage,Materials_PD,2011,Acoustic Pipe Insulation,0
1/6/2018,Plumbing & Drainage,Materials_PD,2020,Drainage Accessories,"133,383.10"
1/6/2018,Plumbing & Drainage,Materials_PD,2021,"Grease, Oil Interceptors",0
1/6/2018,Plumbing & Drainage,Materials_PD,2023,Manhole Covers,0
1/6/2018,Plumbing & Drainage,Materials_PD,2030,Potable Water Pumps and Accessories,0
1/6/2018,Plumbing & Drainage,Materials_PD,2031,Sump Pumps and Accessories,0
1/6/2018,Plumbing & Drainage,Materials_PD,2033,Sewage Pumps and Accessories,0
1/6/2018,Plumbing & Drainage,Materials_PD,2040,Water Tanks,0
1/6/2018,Plumbing & Drainage,Materials_PD,2041,Water Tank Fittings,0
1/6/2018,Plumbing & Drainage,Materials_PD,2043,Puddle Flanges,0
1/6/2018,Plumbing & Drainage,Materials_PD,2053,Electric Water Heaters,0
1/6/2018,Plumbing & Drainage,Materials_PD,2055,Heat Exchangers,"12,900.00"
1/6/2018,Plumbing & Drainage,Materials_PD,2060,Valves for Water Supply System,0
1/6/2018,Plumbing & Drainage,Materials_PD,2061,Gauges and Instruments,0
1/6/2018,Plumbing & Drainage,Materials_PD,2070,Sanitary Ware,0
1/6/2018,Plumbing & Drainage,Materials_PD,2081,Filtration Unit,0
1/6/2018,Plumbing & Drainage,Materials_PD,2090,Sterilization of Domestic Pipes - Dis-infection,0
1/6/2018,HVAC,Materials_HVAC,4001,Chilled Water Piping,"54,475.62"
1/6/2018,HVAC,Materials_HVAC,4002,Chilled Water Pipe Insulation,"7,949.02"
1/6/2018,HVAC,Materials_HVAC,4003,Chilled Water Valves,910.6
1/6/2018,HVAC,Materials_HVAC,4006,Refrigerant Pipes and Accessories,0
1/6/2018,HVAC,Materials_HVAC,4008,Preinsulated Pipes and Fittings,0
1/6/2018,HVAC,Materials_HVAC,4010,GI Duct and Accessories,"120,064.61"
1/6/2018,HVAC,Materials_HVAC,4013,MS Duct and Accessories,"134,413.91"
1/6/2018,HVAC,Materials_HVAC,4014,Duct Insulation,"118,656.55"
1/6/2018,HVAC,Materials_HVAC,4016,Fire Rated Duct Work,"2,826.72"
1/6/2018,HVAC,Materials_HVAC,4018,MSFD/MSD/MVD,"38,611.19"
1/6/2018,HVAC,Materials_HVAC,4020,Fire Dampers/ Smoke Dampers,"10,437.00"
1/6/2018,HVAC,Materials_HVAC,4021,Volume control Dampers/ Non Return Dampers,"66,410.00"
1/6/2018,HVAC,Materials_HVAC,4022,VAV/CAV,0
1/6/2018,HVAC,Materials_HVAC,4025,Sand Trap Louvers,0
1/6/2018,HVAC,Materials_HVAC,4026,Sound Attenuators,"368,688.00"
1/6/2018,HVAC,Materials_HVAC,4027,Grilles and Diffusers,"-8,689.00"
1/6/2018,HVAC,Materials_HVAC,4031,Heat Exchangers,0
1/6/2018,HVAC,Materials_HVAC,4036,Chemical Dosing Pot,0
1/6/2018,HVAC,Materials_HVAC,4040,Air Handling Units,0
1/6/2018,HVAC,Materials_HVAC,4042,Fan Coil Unit,0
1/6/2018,HVAC,Materials_HVAC,4043,Split Units,0
1/6/2018,HVAC,Materials_HVAC,4044,CCU,0
1/6/2018,HVAC,Materials_HVAC,4050,Fans,0
1/6/2018,HVAC,Materials_HVAC,4051,Ecology Units,0
1/6/2018,HVAC,Materials_HVAC,4080,Pressure Gauges / Temperature Gauges,0
1/6/2018,HVAC,Materials_HVAC,4081,Vibration Isolators,0
1/6/2018,HVAC,Materials_HVAC,4100,Flushing & Cleaning the System,0
1/6/2018,Electrical,Materials_EL,5001,Cable Ducts,0
1/6/2018,Electrical,Materials_EL,5002,Conduits,0
1/6/2018,Electrical,Materials_EL,5004,Cable Trunking,"232,281.00"
1/6/2018,Electrical,Materials_EL,5005,"Cable Trays, Ladders, Baskets","455,620.00"
1/6/2018,Electrical,Materials_EL,5006,GI Conduits,"170,905.55"
1/6/2018,Electrical,Materials_EL,5003,Lightning Protection and Earthing,"159,047.25"
1/6/2018,Electrical,Materials_EL,5010,Single Core Wires,"151,250.90"
1/6/2018,Electrical,Materials_EL,5011,LV Cables,0
1/6/2018,Electrical,Materials_EL,5012,LV Cable Terminations,"198,935.36"
1/6/2018,Electrical,Materials_EL,5013,Bus Ducts,"176,746.76"
1/6/2018,Electrical,Materials_EL,5015,Fire Rated Cables,0
1/6/2018,Electrical,Materials_EL,5020,LV Switchboards,"23,420.00"
1/6/2018,Electrical,Materials_EL,5021,Capacitor Banks & Active Harmonic Filters,"221,519.00"
1/6/2018,Electrical,Materials_EL,5022,Automatic Transfer Switches,0
1/6/2018,Electrical,Materials_EL,5023,Submain Distribution Boards,"224,205.00"
1/6/2018,Electrical,Materials_EL,5024,Motor Control Centre,"8,096.00"
1/6/2018,Electrical,Materials_EL,5025,Distribution Boards,"143,491.00"
1/6/2018,Electrical,Materials_EL,5026,"Control Panels, Motor Starters","97,396.00"
1/6/2018,Electrical,Materials_EL,5027,"KWH Meters, Intelligent Metering","136,401.00"
1/6/2018,Electrical,Materials_EL,5028,UPS,0
1/6/2018,Electrical,Materials_EL,5030,Back of House Lighting,0
1/6/2018,Electrical,Materials_EL,5031,Front of House Lighting,"21,579.94"
1/6/2018,Electrical,Materials_EL,5034,External Lghting Luminaires,"10,824.00"
1/6/2018,Electrical,Materials_EL,5036,Intelligent Lighting Controls,0
1/6/2018,Electrical,Materials_EL,5037,Emergency Lighting,0
1/6/2018,Electrical,Materials_EL,5038,EM wiring,"112,500.00"
1/6/2018,Electrical,Materials_EL,5039,"Lighting Wiring Accessories (Ceiling Roses, Switches, PC)",141
1/6/2018,Electrical,Materials_EL,5040,Isolators,0
1/6/2018,Electrical,Materials_EL,5041,Wiring Devices,0
1/6/2018,Electrical,Materials_EL,5042,Floor Boxes,0
1/6/2018,Electrical,Materials_EL,5050,Generator,0
1/6/2018,Electrical,Materials_EL,5052,"Generators - Fuel System (Tanks, Pumps, Piping, Controls)",0
1/6/2018,Electrical,Materials_EL,5053,Generator Room Accessories,0
1/6/2018,Electrical,Materials_EL,5080,Fire Detection and Alarm System,0
1/6/2018,Electrical,Materials_EL,5081,FA Wiring,"270,400.00"
1/6/2018,Electrical,Materials_EL,5082,Disabled Alarm Panel,0
1/6/2018,Electrical,Materials_EL,5090,Public Address System,0
1/6/2018,Electrical,Materials_EL,5127,Wi-Fi,0
1/6/2018,Electrical,Materials_EL,5141,Building Management System wiring,0
1/6/2018,Electrical,Materials_EL,5143,Parking Management system,0
1/6/2018,Electrical,Materials_EL,5145,Leak Detection System,0
1/6/2018,LPG,Subcontractor,2700,Subcontract - LPG system,0
1/6/2018,Plumbing & Drainage,Subcontractor,2701,"Subcontract - Plumbing
M/S Hills and Fort Construction",0
1/6/2018,Fire Fighting,Subcontractor,3700,Subcontract - Fire Fighting,0
1/6/2018,HVAC,Subcontractor,4703,Subcontracts - Aluminium Cladding for Mechanical Duct and Pipes,0
1/6/2018,HVAC,Subcontractor,4715,Module - HVAC,"54,098.00"
1/6/2018,Electrical,Subcontractor,5703,Subcontract - FA & EM Lighting,0
1/6/2018,Electrical,Subcontractor,5705,Subcontract - Security System,0
1/6/2018,Electrical,Subcontractor,5707,Subcontract - A/V System,0
1/6/2018,Electrical,Subcontractor,5708,Subcontract - Structured Cabling (Including Materials),0
1/6/2018,Electrical,Subcontractor,5140,Building Management System & Controls,0
1/6/2018,Electrical,Subcontractor,5140,BMS Installation Works,0
1/6/2018,Plumbing & Drainage,Site Labour,7105,"Plumbing and Drainage Labour - Hire
M/S KBEC",0
1/6/2018,Plumbing & Drainage,Site Labour,7105,"Plumbing and Drainage Labour - Hire
M/S Gospel",0
1/6/2018,Plumbing & Drainage,Site Labour,7105,"Plumbing and Drainage Labour - Hire
M/S Delight Home",0
1/6/2018,Plumbing & Drainage,Site Labour,7103,Plumbing & Drainage Labour,"277,557.58"
1/6/2018,Mechanical,Site Labour,4700,"Subcontract - Duct work
M/S Al Qalaa",0
1/6/2018,Mechanical,Site Labour,4700,"Subcontract - Duct work
M/S Strong Tech",0
1/6/2018,Mechanical,Site Labour,4700,"Subcontract - Duct work
M/S Quality Line",0
1/6/2018,Mechanical,Site Labour,4701,"Subcontract - CHWP & ME Equip Inst'n.
M/S Al Rafa",0
1/6/2018,Mechanical,Site Labour,4701,"Subcontract - CHWP & ME Equip Inst'n.
M/S Jaafar",0
1/6/2018,Mechanical,Site Labour,4701,"Subcontract - CHWP & ME Equip Inst'n.
M/S Jaafar - VO-001 Tiger Steel Beam",0
1/6/2018,Mechanical,Site Labour,4701,"Subcontract - CHWP & ME Equip Inst'n.
M/S Reyah",0
1/6/2018,Mechanical,Site Labour,4701,"Subcontract - CHWP & ME Equip Inst'n.
M/S Reyah -  VO-002",0
1/6/2018,Mechanical,Site Labour,4701,"Subcontract - CHWP & ME Equip Inst'n.
M/S Reyah -  VO-030",0
1/6/2018,Mechanical,Site Labour,4701,"Subcontract - CHWP & ME Equip Inst'n.
M/S Cool Line",0
1/6/2018,Mechanical,Site Labour,4701,"Subcontract - CHWP & ME Equip Inst'n.
M/S Al Burj Al Daieri",0
1/6/2018,Mechanical,Site Labour,7305,"Mechanical Labour - Hire
M/S KBEC",0
1/6/2018,Mechanical,Site Labour,7305,"Mechanical Labour - Hire
M/S Reyah (Welders)",0
1/6/2018,Mechanical,Site Labour,7305,"Mechanical Labour - Hire
M/S Noor Al F. (Module Installation)",0
1/6/2018,Mechanical,Site Labour,7305,"Mechanical Labour - Hire
M/S Rabiee Al Awal",0
1/6/2018,Mechanical,Site Labour,7305,"Mechanical Labour - Hire
M/S Batal Al Madina",0
1/6/2018,Mechanical,Site Labour,7305,"Mechanical Labour - Hire
M/S Delight Home",0
1/6/2018,Mechanical,Site Labour,7305,"Mechanical Labour - Hire
M/S Jaafar - Welder",0
1/6/2018,Mechanical,Site Labour,7303,Mechanical Labour,"330,394.88"
1/6/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Arbab Shams",0
1/6/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Eram",0
1/6/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Bareeq",0
1/6/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Bareeq - VO-009",0
1/6/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Bareeq - VO-039",0
1/6/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Dome",0
1/6/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Dome - VO-004",0
1/6/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Indicator",0
1/6/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Blue Lantern",0
1/6/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Najm Al Lail",0
1/6/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Nimbus Delicate",0
1/6/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Nimbus Delicate - VO-005",0
1/6/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Nimbus Delicate - VO-015",0
1/6/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Nimbus Delicate - VO-043",0
1/6/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S KBEC",0
1/6/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Golden Key",0
1/6/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S Gul Muhammad",0
1/6/2018,Electrical,Site Labour,5700,"Subcontract- Electrical Installation
M/S MW Networks",0
1/6/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Jaafar tech",0
1/6/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S First Security Group",0
1/6/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S KBEC",0
1/6/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Gospel International",0
1/6/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Golden Oasis",0
1/6/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Mohamed Saeewad",0
1/6/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
Al Madah",0
1/6/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Global Classis",0
1/6/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Abacas",0
1/6/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Rabiee Al Awal",0
1/6/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Helix International",0
1/6/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Peter Sebastian",0
1/6/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Theeram Star",0
1/6/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Sahel Al Fasht",0
1/6/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Attune Technical",0
1/6/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Controls ME",0
1/6/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Batal Al Madina",0
1/6/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Dynamo Electro.",0
1/6/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Noor Jazan",0
1/6/2018,Electrical,Site Labour,7605,"Electrical Labour - Hire
M/S Eagle Hunter",0
1/6/2018,Electrical,Site Labour,7403,Electrical Labour,"644,199.98"
1/6/2018,General,Site Labour,7808,Labour Accommodation,"517,061.00"
1/6/2018,General,Site Labour,7850,Vacation - Labour,"1,326.31"
1/6/2018,General,Site Labour,7851,Sick Leave - Labour,484.38
1/6/2018,General,Site Labour,7854,Public Holiday - Labour,0
1/6/2018,General,Site Misc,7500,Fire Stopping,0
1/6/2018,General,Site Misc,7501,Testing and Commissioning,0
1/6/2018,General,Site Misc,7502,Painting and Identification,0
1/6/2018,General,Site Misc,7504,Miscellaneous Items,300
1/6/2018,General,Site Misc,7505,Consumables,"98,239.81"
1/6/2018,General,Site Misc,7506,Supports for MEP Equipment,"580,376.90"
1/6/2018,General,Site Misc,7606,Personal Protective Equipment (PPE),0
1/6/2018,General,Site Misc,7906,Material/Cost Transfer,"61,089.87"
1/6/2018,General,Site Misc,DLP,Defect Liability Period,0
1/6/2018,General,Design and Drafting,6000,Design Drafting Combined,"31,490.44"
1/6/2018,Mechanical,Design and Drafting,6301,Design Drafting Mechanical,0
1/6/2018,Mechanical,Design and Drafting,6300,Design Engineering Mechanical,0
1/6/2018,Mechanical,Design and Drafting,7030,Shop Drawings Engineering Mechanical,0
1/6/2018,Mechanical,Design and Drafting,7031,Shop Drawings Drafting Mechanical,0
1/6/2018,Plumbing & Drainage,Design and Drafting,6100,Design Engineering Plumbing,"3,545.67"
1/6/2018,Plumbing & Drainage,Design and Drafting,7011,Shop Drawings Drafting Plumbing & Drainage,0
1/6/2018,Fire Fighting,Design and Drafting,6201,Design Drafting Fire,132.21
1/6/2018,Fire Fighting,Design and Drafting,7021,Shop Drawings Drafting Fire,0
1/6/2018,Electrical,Design and Drafting,6400,Design Engineering Electrical,"65,408.65"
1/6/2018,Electrical,Design and Drafting,6401,Design Drafting Electrical,0
1/6/2018,Electrical,Design and Drafting,7040,Shop Drawings Engineering Electrical,0
1/6/2018,Electrical,Design and Drafting,7041,Shop Drawings Drafting Electrical,0
1/6/2018,General,Design and Drafting,6526,Design Drafting - Module,0
1/6/2018,General,Design and Drafting,6700,As Built Drawings,0
1/6/2018,General,Design and Drafting,7076,Site - Drafting,0
1/6/2018,General,Design and Drafting,6801,Tender Design,0
1/6/2018,General,Design and Drafting,7004,Shop Drawing Miscellaneous,"8,099.46"
1/6/2018,General,Design and Drafting,7075,"Shop Drawings Coordination, Builder Work","28,734.98"
1/6/2018,General,Design and Drafting,6500,Authority Submissions - Design,0
1/6/2018,General,Design and Drafting,6525,Design Coordination Work,0
1/6/2018,General,Design and Drafting,6550,Design Consultancy,0
1/6/2018,General,Design and Drafting,6515,Consultancy - Piping,0
1/6/2018,General,Design and Drafting,7080,Vacation - Design,"9,041.47"
1/6/2018,General,Design and Drafting,7081,Sick Leave - Design,518.33
1/6/2018,General,Design and Drafting,7084,Public Holiday - Design,0
1/6/2018,General,Site Admin,7000,Site Management Cost,"205,887.60"
1/6/2018,General,Site Admin,7001,Procurement & Subcontractor Management,"104,079.11"
1/6/2018,Plumbing & Drainage,Site Admin,7100,Plumbing & Drainage Site Engineering,0
1/6/2018,Plumbing & Drainage,Site Admin,7101,Plumbing Supervisors,0
1/6/2018,Plumbing & Drainage,Site Admin,7102,Plumbing Foreman,"12,165.53"
1/6/2018,Mechanical,Site Admin,7300,Mechanical Site Engineering,"50,730.86"
1/6/2018,Mechanical,Site Admin,7301,Mechanical Supervisors,"39,689.27"
1/6/2018,Mechanical,Site Admin,7302,Mechanical Foreman,"14,346.55"
1/6/2018,Electrical,Site Admin,7400,Electrical Site Engineering,"117,458.36"
1/6/2018,Electrical,Site Admin,7401,Electrical Supervisors,"70,156.21"
1/6/2018,Electrical,Site Admin,7402,Electrical Foreman,"17,684.46"
1/6/2018,Electrical,Site Admin,7406,Telecom Engineer,"29,370.33"
1/6/2018,General,Site Admin,7501,Testing and Commissioning,0
1/6/2018,General,Site Admin,7600,QA/QC,"-1,504.26"
1/6/2018,General,Site Admin,7601,Planning,"75,111.73"
1/6/2018,General,Site Admin,7602,HSE - Staff,"71,733.26"
1/6/2018,General,Site Admin,7603,QS,"99,732.45"
1/6/2018,General,Site Admin,7700,Material Submittals,"-8,152.03"
1/6/2018,General,Site Admin,7800,Site Administration Staff,"383,770.06"
1/6/2018,General,Site Admin,7803,Site IT - Staff,"-56,036.70"
1/6/2018,General,Site Admin,7807,Staff Accommodation,"22,191.54"
1/6/2018,General,Site Admin,7809,Site Staff Transportation - Staff,"28,778.34"
1/6/2018,General,Site Admin,7910,Site Store Staff,0
1/6/2018,General,Site Admin,,Staff Cost - VO SOPR,0
1/6/2018,General,Site Admin,,Staff Cost - DLP,0
1/6/2018,General,Site Admin,7860,Vacation - Site Staff,0
1/6/2018,General,Site Admin,7861,Sick Leave - Site Staff,0
1/6/2018,General,Site Admin,7863,Compassionate Leave - Site Staff,0
1/6/2018,General,Site Admin,7864,Public Holiday - Site Staff,0
1/6/2018,General,Site Admin,7602,HSE Related Items,0
1/6/2018,General,Site Admin,7801,Site Office Rentals and Running Cost,0
1/6/2018,General,Site Admin,7802,Site Establishment Works,0
1/6/2018,General,Site Admin,7803,Site IT Related Items,0
1/6/2018,General,Site Admin,7804,"Site Electricity, Telecom, Internet","19,131.76"
1/6/2018,General,Site Admin,7805,Material Transport (Trucks),"2,900.00"
1/6/2018,General,Site Admin,7806,Site Stationery,0
1/6/2018,General,Site Admin,7809,Site Staff Transportation - Related Items,0
1/6/2018,General,Site Admin,7810,Site Furniture,0
1/6/2018,General,Site Admin,7811,Staff Meals,0
1/6/2018,General,Site Admin,7812,General,0
1/6/2018,General,Site Admin,7816,Staff Fuel Reimbursement,"5,564.00"
1/6/2018,General,Site Admin,7900,Tools and Machinery Rentals - Outside,0
1/6/2018,General,Site Admin,7901,Tools and Machinery Rentals - JLW,0
1/6/2018,General,Site Admin,EST,Estimatte To Commit - Staff,0
1/6/2018,General,Site Admin,VO,Prelims Variation Budget,0
1/6/2018,General,Site Admin,REC,Reconciliation with Staff Histogram,0
1/6/2018,General,Main Office,8000, Management cost,0
